sample,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillariophyta,Bacillota,Bacteroidota,Balneolota,Bdellovibrionota,Caldisericota,Calditrichota,Campylobacterota,Candidatus Cloacimonadota,Candidatus Lokiarchaeota,Candidatus Micrarchaeota,Candidatus Nanohaloarchaeota,Candidatus Saccharibacteria,Candidatus Thermoplasmatota,Chlamydiota,Chlorobiota,Chloroflexota,Chrysiogenota,Coprothermobacterota,Cyanobacteriota,Deferribacterota,Deinococcota,Dictyoglomota,Elusimicrobiota,Euryarchaeota,Evosea,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nanoarchaeota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Rhodophyta,Rhodothermota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota
37,0.730240356614145,33.08189045624531,0.00399029135874,0.030542255720225,0.000466840235822,0.002303532842449,0.96315160730935,2.019776897164885,0.001833285013665,0.013596295919189,0.000497508572482,0.002589770651274,0.033070689698179,0.000480470607671,0.000126080939602,7.4967045168e-05,5.1113894433e-05,0.002504580827219,0.001945735581418,0.00327924029396,0.024206404539168,0.09512182167557201,0.001966181139191,0.000395280783616,0.277147486666201,0.002832845615911,0.230849656953074,0.000423677391634,0.000866664476721,0.737185031071114,0.000977979180152,0.000984794366077,0.005683865060954,0.491499850224931,0.003270153379394,0.008294081270002,0.000609959140234,0.009028985485515999,0.68710590903426,5.4521487395e-05,0.133449291450109,0.005377181694356,0.060805088817546996,1.55941790315721,22.86753173184641,0.00140733589339,0.057457696664344,0.038202524699256,0.023633928921518,0.373046239537155,0.044438419820087005,0.010566945775791,0.007993077225008,0.336769004861545
43,0.80580774710125,25.433006988644713,0.0044911817758560004,0.030109649306223,0.000365915876985,0.0018622504453719999,1.045476112314568,2.00771071875636,0.002117084716844,0.014547334180864,0.000457394846232,0.002391521624583,0.035108321554327,0.000561942239656,0.000124150029691,9.8013181335e-05,1.9602636267e-05,0.002358850564137,0.002191139120519,0.00370925439587,0.023703943388283,0.094752609502939,0.001764237264037,0.00047046327041,0.262692750544345,0.003055833186967,0.2106869565278,0.00039858693743,0.0011674458932390002,0.5986383747480409,0.001195760812291,0.001150021327668,0.006993785005952,0.504608884716286,0.003088504247412,0.007729972901315999,0.000581544875923,0.010759669239927,0.687085469585072,0.000176423726404,0.219475471787537,0.005900393516389,0.06640719746075299,1.784268980230783,20.080879606009628,0.001038939722155,0.056684289872285,0.03571382520791,0.021290641056737,0.354973249806935,0.048621072154429,0.010827189431513,0.008836432815056,0.335000341521485
49,0.720789277289076,26.69896165783138,0.004334337043261,0.029056909590647002,0.000405609298352,0.00172236991909,0.941730736443641,1.927853157206933,0.002028046491761,0.011776385908679,0.000558447584688,0.002180884778096,0.030986982821937,0.000646623519112,0.000111689516938,2.9391978141e-05,1.7635186885e-05,0.00333696925166,0.001522504467728,0.0036837945937289998,0.023539055560891,0.093952437861782,0.001904600183567,0.000370338924582,0.269640048004546,0.002792237923439,0.205600806029933,0.000497704163195,0.001063989608721,0.572477355587268,0.001093381586862,0.001099259982491,0.005457110608264,0.491935497618828,0.003203725617419,0.007453805656674001,0.000587839562829,0.009144824132413,0.747334152481233,0.000111689516938,0.15923594024438398,0.004979001097163,0.055272594627621,1.498352099556195,22.424760601848156,0.000922908113642,0.054477051752592,0.034553209503101,0.020846750363133,0.34483256595124,0.044628779609992994,0.008478605961207,0.007130493897118,0.323305881160434
63,0.655825161011031,32.70910674152472,0.003683044093043,0.030274740176642,0.000353195491075,0.001883709285734,0.91857513561039,2.126336928327097,0.001877822694215,0.011743750078242998,0.000476813912951,0.002295770691987,0.028954181479455998,0.000612205517863,6.4752506697e-05,7.6525689733e-05,4.1206140625e-05,0.003667346515661,0.001461836893616,0.003280793672652,0.022875294638622,0.089382005608039,0.001730657906267,0.000323762533485,0.264333467717679,0.002631306408508,0.213461543819846,0.000355157688248,0.0009124216852769999,0.620633154719759,0.000712277573668,0.000965401008938,0.004721046397369,0.643622256794392,0.002986464096756,0.007122775736679,0.000635751883935,0.007884108239662,0.730906673624879,4.1206140625e-05,0.10811510201522001,0.005303818957642,0.055408523760972,1.5044715137829239,24.37320260286237,0.001053699881707,0.054988613566027,0.033545722863432,0.021694051940693,0.341345782349402,0.039020252975093,0.008462956405591,0.007216961200965,0.318613728104381
98,0.658671072170846,31.855012843773153,0.0036907111532379997,0.031087143944579,0.000312009853777,0.002508727878343,0.910633083593807,1.954582918087336,0.002015415001425,0.012817702101116,0.000257197311897,0.002272612313323,0.028527819873733002,0.000480663828792,9.6976035633e-05,5.0596192504e-05,4.2163493754e-05,0.002500295179593,0.0015459947709680001,0.002862901225875,0.023291113949526,0.089388012207569,0.00190157356829,0.000299360805651,0.262696836932645,0.002688625451692,0.233457859464268,0.000376660544199,0.000945867709874,0.6777936220379249,0.000830620826947,0.000961327657584,0.005124269940862,1.08477955639479,0.003013284353595,0.00729006807001,0.000615587008804,0.007857869785892,0.774979069690338,0.000101192385009,0.138841574031245,0.005084917346692,0.052833668572929995,1.785122214892176,24.461772109998517,0.001243823065733,0.060524289833599,0.034619039271345,0.021670630339594,0.352596432864426,0.045528140555211004,0.009669494567507,0.007874735183393,0.30272826335217
144,0.896056757159693,22.703623087409554,0.003784488925293,0.030395381011998,0.000416216704615,0.002011714072304,0.818357191510728,2.662029550114253,0.002069521947945,0.012392081608225,0.000468243792691,0.002451053927175,0.030218103526699,0.000855556559486,8.0931025897e-05,4.0465512949e-05,6.9369450769e-05,0.00261291597897,0.0010174186112800001,0.0030098633917039997,0.025942247658458,0.08630137754433499,0.002081083523073,0.000364189616538,0.292033826162816,0.002794047322645,0.207934928680401,0.000431632138119,0.000982733885896,0.552988211451884,0.000612763481794,0.001138815150126,0.004603433830206,0.954294338009547,0.003449203246575,0.007728912973192,0.000739940808204,0.007430238949046,0.741626871243343,4.6246300513e-05,0.062168516393437,0.005532213698836,0.058343561955196,1.5512319503820349,27.22461325230515,0.001023199398844,0.058436054556221,0.03853472990224,0.01965853157629,0.361414838507051,0.034944860824938,0.007089172482764,0.0070005337401159995,0.39756210314532103
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.8947592984603719,23.24898322250276,0.004026787677692,0.030129462380570002,0.000436836378688,0.0018085842594299999,0.8947633810433481,2.463068580140647,0.002020878574307,0.013396315613113,0.000412340880818,0.002735330595526,0.031514818871239,0.000857342425463,8.9816825525e-05,3.6743246806e-05,3.2660663827e-05,0.003196662472085,0.001238383503447,0.003266066382718,0.025160958895861,0.100036891580654,0.002212759974291,0.000342936970185,0.297510069384722,0.002872777555799,0.208440356545035,0.000489909957408,0.000805629707737,0.545490242075533,0.000812434012701,0.001200279395649,0.005043350839313,0.689744229034212,0.003584507855033,0.007781403156825,0.000542983536127,0.007697029775271,0.695883072972728,4.0825829784e-05,0.135763575224606,0.006029975059092,0.073889308465014,1.5419153827249379,24.308212097969825,0.001073719323318,0.058776947139981,0.036766381442451,0.021053880419593,0.364774706536793,0.043793867609265,0.007567747980954,0.0075704697029409995,0.367295021095455
1501,0.844460718229677,28.21517997448081,0.003750541363813,0.027019575323549,0.000443190981094,0.001827032207774,0.75248803748652,1.421281317384689,0.001977777439438,0.009774320821128,0.000397967411594,0.002725473788494,0.026659796703976002,0.000473340027427,0.000102506757532,3.0149046333e-05,3.0149046333e-05,0.001900394887184,0.0009215558495759999,0.002782756976527,0.023674036148807,0.090215996310158,0.001956673107005,0.000434146267194,0.286900334840333,0.002742558248083,0.221643729020975,0.000433141298983,0.000750711253689,0.624350570698834,0.000645189591524,0.001142648856017,0.004719330719311,0.294271776668728,0.003022944378979,0.008297017550815,0.000575846784958,0.007272954943707,0.656619094988942,2.71341417e-05,0.042044855047657,0.00584590008395,0.056189782618844,1.460510251504852,23.908083195489358,0.001127574332851,0.057481166770103,0.034877421766115,0.022070106883897,0.381914049390269,0.039621876690701996,0.0071071351888760004,0.006933275688357,0.314208336040467
1502,0.88155656564882,19.783196740414443,0.0042454187171829996,0.027236590400193002,0.000594487856896,0.001899776412255,0.8964252238957581,1.705424115822087,0.002494264269152,0.013813226906795999,0.000600949681428,0.003728472754665,0.034413523513158004,0.000562178734239,9.0465543441e-05,4.523277172e-05,4.523277172e-05,0.002147479685963,0.001191129655303,0.003788783116958,0.027551065860725,0.093735226653665,0.002339180480396,0.000510484137987,0.31555889311185803,0.003541079843252,0.194994171003485,0.000590179973875,0.001188975713792,0.509381319933635,0.000788342592841,0.001576685185681,0.005216846338416,0.317786068633709,0.004279881781351,0.008380986417331,0.00074310982112,0.010319533776776,0.598836664805948,7.7541894378e-05,0.099240701154486,0.006487671829607,0.07373587972873,1.322976723043357,21.21339882579168,0.00100158280238,0.055690157753815,0.040959351763548,0.021991742822141,0.390442823665683,0.03529448559095,0.007394481205526,0.008525300498535001,0.352955625617049
